variables=x[mm],y[mm],z[mm],dummy
  zone i=         151 j=         222 k=           1 f=point
 -2.5354854544E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.3243905214E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.1229129198E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.9306165777E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.7470850094E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.5719204521E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.4047430398E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.2451900118E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.0929149547E-01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -9.4758707772E-02  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -8.0889051815E-02  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -6.7652367749E-02  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -5.5019858588E-02  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -4.2964029411E-02  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -3.1458629212E-02  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.0478595279E-02  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.0000000000E-02  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -9.9904656496E+01  1.9977261114E+00  0.0000000000E+00  1.0000000000E+00
 -9.7913811984E+01  1.9803925246E+00  0.0000000000E+00  1.0000000000E+00
 -9.5923684093E+01  1.9879891698E+00  0.0000000000E+00  1.0000000000E+00
 -9.3917883428E+01  1.9926366253E+00  0.0000000000E+00  1.0000000000E+00
 -9.1900115612E+01  1.9954862854E+00  0.0000000000E+00  1.0000000000E+00
 -8.9873702410E+01  1.9972379476E+00  0.0000000000E+00  1.0000000000E+00
 -8.7841676627E+01  1.9983170576E+00  0.0000000000E+00  1.0000000000E+00
 -8.5806863500E+01  1.9989836667E+00  0.0000000000E+00  1.0000000000E+00
 -8.3771932342E+01  1.9993968910E+00  0.0000000000E+00  1.0000000000E+00
 -8.1739432319E+01  1.9996543172E+00  0.0000000000E+00  1.0000000000E+00
 -7.9711814777E+01  1.9998158710E+00  0.0000000000E+00  1.0000000000E+00
 -7.7691446490E+01  1.9999183900E+00  0.0000000000E+00  1.0000000000E+00
 -7.5680616534E+01  1.9999845332E+00  0.0000000000E+00  1.0000000000E+00
 -7.3681538891E+01  2.0000282405E+00  0.0000000000E+00  1.0000000000E+00
 -7.1696352158E+01  2.0000580834E+00  0.0000000000E+00  1.0000000000E+00
 -6.9727117442E+01  2.0000793274E+00  0.0000000000E+00  1.0000000000E+00
 -6.7775815123E+01  2.0000952016E+00  0.0000000000E+00  1.0000000000E+00
 -6.5844341035E+01  2.0001076844E+00  0.0000000000E+00  1.0000000000E+00
 -6.3934502430E+01  2.0001179885E+00  0.0000000000E+00  1.0000000000E+00
 -6.2048013992E+01  2.0001268627E+00  0.0000000000E+00  1.0000000000E+00
 -6.0186494109E+01  2.0001347720E+00  0.0000000000E+00  1.0000000000E+00
 -5.8351461537E+01  2.0001420125E+00  0.0000000000E+00  1.0000000000E+00
 -5.6544332565E+01  2.0001487731E+00  0.0000000000E+00  1.0000000000E+00
 -5.4766418733E+01  2.0001551801E+00  0.0000000000E+00  1.0000000000E+00
 -5.3018925168E+01  2.0001613153E+00  0.0000000000E+00  1.0000000000E+00
 -5.1302949523E+01  2.0001672377E+00  0.0000000000E+00  1.0000000000E+00
 -4.9619481568E+01  2.0001729822E+00  0.0000000000E+00  1.0000000000E+00
 -4.7969403385E+01  2.0001785776E+00  0.0000000000E+00  1.0000000000E+00
 -4.6353490168E+01  2.0001840390E+00  0.0000000000E+00  1.0000000000E+00
 -4.4772411600E+01  2.0001893854E+00  0.0000000000E+00  1.0000000000E+00
 -4.3226733752E+01  2.0001946201E+00  0.0000000000E+00  1.0000000000E+00
 -4.1716921492E+01  2.0001997561E+00  0.0000000000E+00  1.0000000000E+00
 -4.0243341328E+01  2.0002047951E+00  0.0000000000E+00  1.0000000000E+00
 -3.8806264667E+01  2.0002097518E+00  0.0000000000E+00  1.0000000000E+00
 -3.7405871402E+01  2.0002146168E+00  0.0000000000E+00  1.0000000000E+00
 -3.6042253836E+01  2.0002194040E+00  0.0000000000E+00  1.0000000000E+00
 -3.4715420821E+01  2.0002240942E+00  0.0000000000E+00  1.0000000000E+00
 -3.3425302140E+01  2.0002287331E+00  0.0000000000E+00  1.0000000000E+00
 -3.2171752987E+01  2.0002332594E+00  0.0000000000E+00  1.0000000000E+00
